iter	Passed	Remaining
1219	101929	315814
1220	102014	315735
1221	102111	315692
1222	102198	315620
1223	102371	315812
1224	102458	315738
1225	102540	315649
1226	102643	315626
1227	102719	315519
1228	102797	315417
1229	102878	315327
1230	102981	315301
1231	103065	315218
1232	103156	315157
1233	103259	315135
1234	103343	315050
1235	103474	315111
1236	103579	315093
1237	103670	315029
1238	103746	314923
1239	103819	314806
1240	103901	314719
1241	103980	314621
1242	104062	314531
1243	104147	314451
1244	104257	314448
1245	104333	314339
1246	104405	314222
1247	104521	314234
1248	104584	314087
1249	104664	313994
1250	104748	313911
1251	104834	313832
1252	104912	313732
1253	105013	313699
1254	105088	313589
1255	105160	313472
1256	105239	313374
1257	105317	313274
1258	105412	313222
1259	105484	313105
1260	105622	313181
1261	105701	313082
1262	105774	312969
1263	105882	312956
1264	105973	312892
1265	106076	312866
1266	106169	312810
1267	106284	312819
1268	106379	312767
1269	106474	312715
1270	106586	312714
1271	106730	312806
1272	106838	312794
1273	106975	312864
1274	107054	312766
1275	107143	312697
1276	107234	312633
1277	107311	312528
1278	107442	312582
1279	107530	312510
1280	107615	312428
1281	107772	312556
1282	107848	312449
1283	107940	312389
1284	108031	312325
1285	108117	312245
1286	108208	312180
1287	108288	312086
1288	108396	312070
1289	108477	311978
1290	108549	311860
1291	108629	311763
1292	108732	311732
1293	108858	311769
1294	108963	311745
1295	109039	311637
1296	109108	311508
1297	109188	311413
1298	109260	311294
1299	109331	311173
1300	109410	311074
1301	109489	310978
1302	109568	310878
1303	109646	310776
1304	109728	310686
1305	109807	310588
1306	109922	310591
1307	110041	310605
1308	110119	310503
1309	110195	310399
1310	110269	310286
1311	110344	310176
1312	110450	310152
1313	110523	310039
1314	110603	309941
1315	110669	309807
1316	110746	309702
1317	110820	309591
1318	110897	309486
1319	111042	309574
1320	111135	309514
1321	111216	309419
1322	111303	309343
1323	111406	309313
1324	111492	309233
1325	111579	309156
1326	111662	309071
1327	111739	308967
1328	111822	308879
1329	111900	308778
1330	111970	308655
1331	112041	308533
1332	112180	308602
1333	112255	308491
1334	112334	308394
1335	112404	308270
1336	112476	308154
1337	112559	308066
1338	112636	307964
1339	112715	307863
1340	112788	307750
1341	112873	307668
1342	112955	307580
1343	113030	307470
1344	113111	307377
1345	113238	307410
1346	113312	307297
1347	113401	307227
1348	113465	307089
1349	113549	307003
1350	113634	306922
1351	113709	306813
1352	113789	306719
1353	113895	306693
1354	113973	306593
1355	114050	306490
1356	114145	306433
1357	114268	306455
1358	114350	306365
1359	114429	306266
1360	114505	306161
1361	114583	306061
1362	114658	305952
1363	114762	305920
1364	114862	305878
1365	114947	305798
1366	115017	305675
1367	115085	305549
1368	115154	305424
1369	115224	305303
1370	115346	305318
1371	115421	305210
1372	115513	305147
1373	115594	305054
1374	115673	304956
1375	115755	304867
1376	115836	304774
1377	115917	304682
1378	115995	304583
1379	116088	304520
1380	116196	304499
1381	116289	304438
1382	116409	304447
1383	116484	304340
1384	116572	304266
1385	116644	304151
1386	116713	304026
1387	116816	303993
1388	116900	303908
1389	116980	303813
1390	117049	303689
1391	117126	303587
1392	117198	303470
1393	117273	303363
1394	117348	303255
1395	117484	303306
1396	117566	303215
1397	117642	303109
1398	117729	303034
1399	117796	302906
1400	117875	302808
1401	117965	302738
1402	118049	302653
1403	118149	302612
1404	118246	302559
1405	118357	302544
1406	118437	302448
1407	118565	302476
1408	118673	302453
1409	118752	302356
1410	118828	302251
1411	118910	302160
1412	118981	302043
1413	119071	301972
1414	119154	301885
1415	119227	301774
1416	119317	301704
1417	119401	301619
1418	119478	301516
1419	119549	301400
1420	119705	301496
1421	119786	301404
1422	119866	301308
1423	119960	301249
1424	120035	301141
1425	120108	301028
1426	120213	300997
1427	120286	300884
1428	120356	300765
1429	120427	300648
1430	120501	300537
1431	120574	300425
1432	120646	300311
1433	120769	300323
1434	120840	300205
1435	120914	300096
1436	120986	299981
1437	121063	299881
1438	121138	299774
1439	121213	299666
1440	121302	299594
1441	121390	299520
1442	121472	299429
1443	121558	299349
1444	121639	299259
1445	121723	299174
1446	121838	299164
1447	121916	299066
1448	122010	299005
1449	122095	298922
1450	122173	298824
1451	122255	298734
1452	122335	298639
1453	122410	298532
1454	122478	298409
1455	122545	298284
1456	122624	298185
1457	122689	298055
1458	122760	297941
1459	122849	297868
1460	122981	297900
1461	123053	297787
1462	123116	297650
1463	123196	297555
1464	123284	297480
1465	123362	297382
1466	123468	297352
1467	123549	297258
1468	123624	297152
1469	123702	297053
1470	123779	296953
1471	123853	296844
1472	123978	296857
1473	124066	296783
1474	124144	296685
1475	124223	296588
1476	124304	296495
1477	124377	296385
1478	124476	296336
1479	124555	296240
1480	124639	296154
1481	124723	296071
1482	124808	295988
1483	124904	295933
1484	125057	296012
1485	125140	295924
1486	125215	295818
1487	125285	295699
1488	125358	295591
1489	125448	295518
1490	125527	295422
1491	125617	295352
1492	125692	295246
1493	125769	295145
1494	125841	295033
1495	125920	294936
1496	125994	294829
1497	126102	294800
1498	126199	294745
1499	126275	294643
1500	126355	294548
1501	126433	294450
1502	126531	294397
1503	126608	294298
1504	126682	294188
1505	126756	294082
1506	126831	293976
1507	126904	293865
1508	126977	293757
1509	127060	293670
1510	127134	293561
1511	127280	293621
1512	127358	293523
1513	127436	293424
1514	127512	293321
1515	127586	293213
1516	127660	293106
1517	127730	292990
1518	127812	292899
1519	127893	292807
1520	127982	292735
1521	128072	292663
1522	128154	292575
1523	128245	292507
1524	128363	292500
1525	128439	292398
1526	128526	292319
1527	128598	292208
1528	128679	292115
1529	128765	292035
1530	128844	291941
1531	128939	291881
1532	129019	291787
1533	129136	291776
1534	129226	291706
1535	129322	291648
1536	129496	291766
1537	129584	291690
1538	129693	291663
1539	129783	291592
1540	129885	291547
1541	129963	291448
1542	130052	291375
1543	130158	291338
1544	130237	291242
1545	130331	291181
1546	130473	291225
1547	130601	291238
1548	130685	291151
1549	130764	291057
1550	130847	290968
1551	130929	290880
1552	131025	290821
1553	131106	290728
1554	131187	290637
1555	131268	290546
1556	131356	290470
1557	131448	290401
1558	131578	290418
1559	131687	290388
1560	131776	290313
1561	131850	290205
1562	131953	290162
1563	132043	290091
1564	132119	289988
1565	132197	289888
1566	132279	289798
1567	132373	289735
1568	132450	289635
1569	132523	289524
1570	132652	289537
1571	132762	289510
1572	132842	289416
1573	132918	289313
1574	132980	289179
1575	133060	289084
1576	133145	289002
1577	133225	288907
1578	133328	288865
1579	133406	288765
1580	133480	288659
1581	133557	288558
1582	133643	288478
1583	133790	288528
1584	133873	288440
1585	133938	288313
1586	134013	288209
1587	134089	288107
1588	134169	288013
1589	134257	287936
1590	134331	287829
1591	134403	287717
1592	134476	287610
1593	134554	287512
1594	134637	287423
1595	134720	287337
1596	134917	287492
1597	134997	287396
1598	135075	287298
1599	135149	287192
1600	135214	287067
1601	135293	286970
1602	135359	286846
1603	135453	286783
1604	135534	286691
1605	135604	286577
1606	135693	286502
1607	135764	286388
1608	135841	286288
1609	135908	286168
1610	136044	286190
1611	136125	286098
1612	136229	286057
1613	136316	285977
1614	136389	285868
1615	136469	285774
1616	136556	285695
1617	136634	285598
1618	136699	285473
1619	136774	285368
1620	136841	285249
1621	136910	285131
1622	136988	285034
1623	137145	285100
1624	137222	285001
1625	137307	284916
1626	137376	284801
1627	137483	284762
1628	137556	284654
1629	137657	284605
1630	137730	284497
1631	137810	284402
1632	137907	284345
1633	137989	284254
1634	138080	284183
1635	138219	284211
1636	138290	284098
1637	138370	284005
1638	138445	283902
1639	138531	283820
1640	138606	283716
1641	138683	283616
1642	138760	283517
1643	138843	283428
1644	138922	283334
1645	138996	283229
1646	139055	283093
1647	139138	283005
1648	139216	282907
1649	139354	282932
1650	139429	282828
1651	139504	282723
1652	139577	282616
1653	139664	282538
1654	139743	282443
1655	139820	282342
1656	139907	282262
1657	139984	282163
1658	140070	282082
1659	140148	281986
1660	140226	281888
1661	140296	281775
